"rep","beta1_hat","beta1_sd","mean_unw","mean_inf","fixed_mean","sd_delta_hat"
97,0.814252519444961,0.0543927501446071,0.7,0.616408363352375,0.834127589875405,0.344726303353738
98,0.575896175985978,0.0508238755058952,0.7,0.681294264616416,0.572434504596481,0.274213116857189
99,0.754581700960616,0.052270270840143,0.7,0.659733263713493,0.768004247692058,0.215946455282162
100,0.696169416600716,0.0544684755797479,0.7,0.643291366350066,0.707775949502174,0.342125691268491
101,0.688538244888532,0.0521980917428983,0.7,0.571101771654166,0.706615781414606,0.478164212619424
102,0.680100812661908,0.0524460088902353,0.7,0.561633438654597,0.685972807491231,0.548176878290449
103,0.758182021528355,0.0534923078184037,0.7,0.661473542589869,0.768560934139406,0.327740051962094
104,0.724981050388375,0.0540518697609259,0.7,0.604296500147329,0.74076633240293,0.506637827072464
105,0.67167034738934,0.0505216746393657,0.7,0.593071304831081,0.684914253682018,0.350226841500774
106,0.857107903287386,0.0566615006851572,0.7,0.636038810448079,0.887299494987411,0.315982910251133
107,0.74960673768059,0.0557233588393312,0.7,0.543212444480916,0.777411719443552,0.613081047138255
108,0.697862018290434,0.0555923358950152,0.7,0.582018568159807,0.677568977930366,0.622559180747446
109,0.743912477143129,0.053826382099071,0.7,0.625446878932211,0.76904206374958,0.476655497273826
110,0.753578056255112,0.056960802973676,0.7,0.60508835570438,0.749484370907936,0.489265360545666
111,0.693959852038483,0.0531585114351158,0.7,0.54450560555953,0.713205144387378,0.491004672888279
112,0.73367971803141,0.0568952247920489,0.7,0.566492529990642,0.743266603347924,0.563011825112027
113,0.720651261069907,0.0540675722956744,0.7,0.592335653813804,0.738111226055359,0.492510526129406
114,0.753569925122994,0.0565111430983364,0.7,0.572130900059564,0.753844001667138,0.65661804883204
115,0.689877211020516,0.053020799342221,0.7,0.614690745433306,0.702397689594165,0.440502365905986
116,0.667056394307412,0.0527579602937611,0.7,0.553697283037942,0.684667199579414,0.493160268984491
117,0.642828986091964,0.0583316608184958,0.7,0.521036482666207,0.650693891938883,0.688230404463574
118,0.680490575693322,0.054283348746965,0.7,0.595944423606257,0.68894887612182,0.530530092015248
119,0.706699101983644,0.0552549726217221,0.7,0.639974505651637,0.720519607063142,0.533446905307218
120,0.741436840277422,0.053435275737671,0.7,0.61114105440868,0.766431543541756,0.336384305684305
121,0.77276701300968,0.0548409520396872,0.7,0.595288366494159,0.792628859397967,0.477871841561737
122,0.778122683763617,0.0549423719305647,0.7,0.657558670743174,0.785849670810321,0.389755350103293
123,0.78224067377282,0.0529194518960845,0.7,0.647625936709381,0.790500284487931,0.442459757135858
124,0.728651112549191,0.0537508977001404,0.7,0.607059167925095,0.749796624150923,0.363574241520256
125,0.673641642455486,0.0513216414579594,0.7,0.552881625787109,0.688194383581078,0.428477664972157
126,0.617783850515878,0.0504607401885355,0.7,0.640788390816927,0.62714403612143,0.369226706266389
127,0.702894926577639,0.0563686841284617,0.7,0.564758395630148,0.713543189823233,0.631215861557012
128,0.719562335516859,0.0541397886708191,0.7,0.588079896798637,0.741060375484706,0.471273712966034
129,0.753978364411273,0.0585077058852166,0.7,0.57420601640394,0.766833275272067,0.583511526283601
130,0.702801440017061,0.0566802331949411,0.7,0.578688445827378,0.713892303759122,0.574307661137473
131,0.677697624034007,0.0535436786727315,0.7,0.659740510588627,0.688960570575621,0.391290263734981
132,0.725524396036766,0.0541551109026433,0.7,0.656809989273783,0.741041051366105,0.390969597062551
133,0.711795904957052,0.0536955593801817,0.7,0.625737614997621,0.722097739856901,0.400162537444049
134,0.718177240748075,0.0518789390328207,0.7,0.653727512306404,0.744866410247039,0.207518899643054
135,0.767703649509148,0.0554542606493173,0.7,0.638973191730783,0.781613790175915,0.422475011065452
136,0.775991989552046,0.0566271061199757,0.7,0.632969252878848,0.796841176052241,0.515348885092722
137,0.674246299420507,0.0511795342553812,0.7,0.63077351356393,0.694698293958775,0.313030134017078
138,0.64740251270658,0.0500607170522813,0.7,0.639767131573103,0.652583950674262,0.355298197119086
139,0.572014290311374,0.0535623924656238,0.7,0.562355812053595,0.58567504810906,0.587384958977014
140,0.716412936177431,0.0527000867155936,0.7,0.662816943912494,0.744462926817543,0.322301616452282
141,0.830287971317054,0.0570672553555121,0.7,0.567171803515159,0.834271846903324,0.546045241000659
142,0.688441393384529,0.0515410763730171,0.7,0.675253809515936,0.698049044198635,0.23731052821477
143,0.764082199913365,0.0544251697016501,0.7,0.636878436220615,0.775346797991806,0.379398723864877
144,0.721300747843798,0.0541489527714466,0.7,0.645354620907157,0.738148575037275,0.302995609174717
145,0.628092563655966,0.0543587247369527,0.7,0.599768845053317,0.633814137691977,0.529266332465444
146,0.652991823288406,0.0571091698029818,0.7,0.690102794386244,0.619773762992866,0.280236480387979
147,0.718569514528172,0.0539318932736766,0.7,0.609776089879318,0.719483318394751,0.447251997516478
